ligand_id	url	label	glycoconjugate_type	aglycon	ligand_types	ligand_synonyms	glycan_references:glytoucan	glycan_references:glyconnect	bgsl_curator_meta
SB0033	https://sugarbind.expasy.org/ligands/33	Pentasaccharide N-linked glycan core (3a,6a-mannopentaose)	N-linked glycoprotein	Protein		3a,6a-mannopentaose	G20624LQ	11	"{""keep"": true}"
SB0035	https://sugarbind.expasy.org/ligands/35	N-acetylneuraminic acid (NANA, Sialic acid, NeuAc)			Sialylated | Glycotope	Sialic acid | NANA	G81533KY	2807	"{""keep"": true, ""suggested_class"": ""3B""}"
SB0036	https://sugarbind.expasy.org/ligands/36	N-acetylgalactosamine (GalNAc)			Glycotope		G27025MB	2305	"{""keep"": true, ""suggested_class"": ""3B""}"
SB0037	https://sugarbind.expasy.org/ligands/37	Sialyl-3-lactose (Alpha 2-3 sialyllactose, 3'SL)			Sialylated	Alpha 2-3 sialyllactose	G91237TK		"{""keep"": true, ""suggested_class"": ""2A""}"
SB0038	https://sugarbind.expasy.org/ligands/38	GQ1b (NeuAc-GQ1b)	Glycosphingolipid	Ceramide	Sialylated	NeuAc-GQ1b	G18625KA		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0039	https://sugarbind.expasy.org/ligands/39	Sai2-3Gal			Sialylated | Glycotope		G77824XV	1561	"{""keep"": true}"
SB0041	https://sugarbind.expasy.org/ligands/41	GM2 (NeuAc-GM2)	Glycosphingolipid	Ceramide	Sialylated	NeuAc-GM2	G79389NT		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0042	https://sugarbind.expasy.org/ligands/42	Disialylactose (DiSai)			Sialylated | Glycotope		G97569KL	1461	"{""keep"": true}"
SB0044	https://sugarbind.expasy.org/ligands/44	Mannose (Man)			Glycotope		G70323CJ	3570	"{""keep"": true, ""suggested_class"": ""3B""}"
SB0045	https://sugarbind.expasy.org/ligands/45	H5 type 1	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group		G00050MO		"{""keep"": true}"
SB0046	https://sugarbind.expasy.org/ligands/46	B7 type 1 (B Lewis b(7))	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group | Lewis blood group	B Lewis b(7)	G22689CV		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0047	https://sugarbind.expasy.org/ligands/47	B6 type 1	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group		G63238VS		"{""keep"": true}"
SB0048	https://sugarbind.expasy.org/ligands/48	A7 type 1	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group | Lewis blood group		G71485PH		"{""keep"": true}"
SB0049	https://sugarbind.expasy.org/ligands/49	A9 type 1	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group		Glytoucan : -		"{""keep"": true}"
SB0050	https://sugarbind.expasy.org/ligands/50	A7 type 4	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group		G37830TX		"{""keep"": true}"
SB0051	https://sugarbind.expasy.org/ligands/51	A8 type 1	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group		G04715SK		"{""keep"": true}"
SB0052	https://sugarbind.expasy.org/ligands/52	A6 type 1	Glycosphingolipid	Ceramide	Fucosylated | ABH blood group		G82858KU		"{""keep"": true}"
